Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Ram_GB,Memory,Gpu,OpSys,Weight_kg,CPU_GHz,ScreenWidth_px,ScreenHeight_px,Touchscreen,IPS,CPU_Brand,GPU_Brand,Price
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,8.0,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,2.3,2560,1600,0,1,Intel,Intel,71378.6832
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,8.0,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,1.8,1440,900,0,0,Intel,Intel,47895.5232
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,No OS,1.86,2.5,1920,1080,0,0,Intel,Intel,30636.0
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,16.0,512GB SSD,AMD Radeon Pro 455,macOS,1.83,2.7,2880,1800,0,1,Intel,AMD,135195.336
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,8.0,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,3.1,2560,1600,0,1,Intel,Intel,96095.808
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,4.0,500GB HDD,AMD Radeon R5,Windows 10,2.1,3.0,1366,768,0,0,AMD,AMD,21312.0
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,16.0,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04,2.2,2880,1800,0,1,Intel,Intel,114017.6016
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,8.0,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34,1.8,1440,900,0,0,Intel,Intel,61735.536
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,16.0,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3,1.8,1920,1080,0,0,Intel,Nvidia,79653.6
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,1.6,1920,1080,0,1,Intel,Intel,41025.6
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,4.0,500GB HDD,Intel HD Graphics 620,No OS,1.86,2.5,1366,768,0,0,Intel,Intel,20986.992
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,500GB HDD,Intel HD Graphics 520,No OS,1.86,2.0,1920,1080,0,0,Intel,Intel,18381.0672
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,16.0,256GB SSD,AMD Radeon Pro 555,macOS,1.83,2.8,2880,1800,0,1,Intel,AMD,130001.6016
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,2.0,1920,1080,0,0,Intel,AMD,26581.392
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,8.0,256GB SSD,Intel HD Graphics 615,macOS,0.92,1.2,2304,1440,0,1,Intel,Intel,67260.672
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,8.0,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,2.3,2560,1600,0,1,Intel,Intel,80908.344
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,8.0,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,2.7,1920,1080,0,0,Intel,AMD,39693.6
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,16.0,512GB SSD,AMD Radeon Pro 560,macOS,1.83,2.9,2880,1800,0,1,Intel,AMD,152274.24
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,8.0,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,2.4,1920,1080,0,0,Intel,Nvidia,26586.72
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22,1.6,1920,1080,1,1,Intel,Intel,52161.12
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,2.5,1920,1080,0,1,Intel,Nvidia,53226.72
HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,4.0,500GB HDD,AMD Radeon R2,No OS,1.86,1.5,1366,768,0,0,AMD,AMD,13746.24
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,1.6,1920,1080,1,0,Intel,Intel,43636.32
HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.91,1.8,1920,1080,0,0,Intel,Intel,35111.52
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,4.0,1TB HDD,Intel HD Graphics 520,Windows 10,2.3,2.0,1366,768,0,0,Intel,Intel,22305.1392
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,8.0,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,1.6,1440,900,0,0,Intel,Intel,58554.72
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,AMD Radeon 530,Windows 10,2.2,1.6,1920,1080,0,0,Intel,AMD,42624.0
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,8.0,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,1.9,1920,1080,0,0,Intel,Intel,69157.44
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,1.6,1920,1080,0,0,Intel,Nvidia,47738.88
Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,4.0,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89,1.44,1920,1080,0,0,Intel,Intel,13053.0672
Asus,Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,2.0,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65,1.5,1366,768,0,0,AMD,AMD,10602.72
HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,4.0,500GB HDD,AMD Radeon 530,Windows 10,2.71,2.5,1920,1080,0,0,AMD,AMD,23389.92
Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,16.0,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2,1.8,3200,1800,1,0,Intel,Intel,99580.32
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,8.0,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,1.6,1440,900,0,0,Intel,Intel,53173.44
Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,4.0,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44,1.1,1366,768,0,0,Intel,Intel,13266.72
Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,4.0,1TB HDD,Intel HD Graphics 620,Linux,2.1,2.7,1366,768,0,0,Intel,Intel,19553.76
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,1.6,1920,1080,0,1,Intel,AMD,52161.12
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,4.0,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,2.5,1366,768,0,0,Intel,Intel,26037.4032
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1,1.6,1920,1080,0,0,Intel,Nvidia,46833.12
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,1TB HDD,Intel HD Graphics 620,Linux,2.0,2.0,1920,1080,0,0,Intel,Intel,20725.92
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,2.8,1920,1080,0,1,Intel,Nvidia,79866.72
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,8.0,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,2.5,1366,768,0,0,Intel,Nvidia,27864.9072
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,4.0,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2,1.6,1920,1080,0,1,Intel,Intel,36336.96
Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,12.0,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77,1.6,1920,1080,1,0,Intel,Nvidia,53226.72
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,8.0,256GB SSD,Intel Iris Graphics 540,macOS,1.37,2.0,2560,1600,0,1,Intel,Intel,75604.32
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,8.0,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,3.0,1920,1080,0,0,AMD,AMD,69210.72
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,4.0,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3,2.5,1920,1080,0,0,Intel,AMD,34045.92
Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,4.0,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8,1.1,1366,768,0,0,Intel,Nvidia,24828.48
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2,1.8,1920,1080,0,1,Intel,Nvidia,44808.48
HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,4.0,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,2.5,1920,1080,0,0,AMD,AMD,21231.5472
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1.8,1920,1080,0,0,Intel,Intel,58767.84
Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,4.0,1TB HDD,Intel HD Graphics 620,Windows 10,2.4,2.4,1366,768,0,0,Intel,Intel,20459.52
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,8.0,256GB SSD,AMD Radeon 520,Windows 10,2.13,1.8,1920,1080,0,0,Intel,AMD,40908.384
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,128GB SSD,Intel HD Graphics 520,Windows 10,1.91,2.0,1920,1080,0,0,Intel,Intel,23389.92
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,4.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,2.5,1366,768,0,0,Intel,Intel,31232.2032
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43,2.8,1920,1080,0,0,Intel,Nvidia,130482.72
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,4.0,256GB SSD,Intel HD Graphics 520,Linux,2.0,2.0,1920,1080,0,0,Intel,Intel,22111.2
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,16.0,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8,1.8,1920,1080,0,0,Intel,AMD,69210.72
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7,1.6,1920,1080,0,0,Intel,Intel,46833.12
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,No OS,1.7,2.7,1920,1080,0,1,Intel,Intel,31914.72
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,8.0,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4,1.6,1920,1080,0,0,Intel,Intel,50136.48
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.86,2.5,1920,1080,0,0,Intel,Intel,36763.2
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,16.0,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,2.8,1920,1080,0,0,Intel,Nvidia,105654.24
